Rk,Player,From,To,PassingCmp,PassingAtt,PassingYds,PassingTD,PassingInt,PassingSk,PassingYds,RushingAtt,RushingYds,RushingTD
1,Tom Brady\BradTo00,2000,2020,22.5,35.2,263.1,1.9,0.6,1.7,10.9,2.1,3.5,0.1
2,Patrick Mahomes\MahoPa00,2017,2020,24.2,36.7,307.7,2.5,0.5,1.5,10.0,3.7,17.6,0.1
